"Contract","Supplier","Material","Plant","Valid From","Valid to","Unit","Total","Crcy","Per"
"C1","S4","M0004-100","Plant1","2016-01-01","2016-12-31","PC",367.24,"EUR",100
"C2","S4","M0002-100","Plant1","2016-01-01","2016-11-08","PC",150.5,"EUR",100
"C2","S4","M0002-100","Plant1","2016-11-09","2016-12-31","PC",341.19,"EUR",100
"C2","S4","M0002-100","Plant1","2017-01-01","2017-02-14","PC",150.5,"EUR",100
"C2","S4","M0002-100","Plant1","2017-02-15","2017-03-31","PC",150.5,"EUR",100
"C2","S4","M0002-100","Plant1","2017-04-01","2017-04-30","PC",341.19,"EUR",100
"C2","S4","M0002-100","Plant1","2017-05-01","2017-12-31","PC",150.5,"EUR",100
"C3","S4","M0090-100","Plant1","2016-01-01","2016-12-31","PC",384.01,"EUR",100
"C3","S4","M0090-100","Plant1","2017-01-01","2017-02-14","PC",384.01,"EUR",100
"C3","S4","M0090-100","Plant1","2017-02-15","2017-12-31","PC",384.01,"EUR",100
"C4","S4","M0075-100","Plant1","2016-01-01","2016-02-29","PC",241.33,"EUR",100
"C4","S4","M0075-100","Plant1","2016-03-01","2016-12-31","PC",231.05,"EUR",100
"C4","S4","M0075-100","Plant1","2017-01-01","2017-02-14","PC",231.05,"EUR",100
"C4","S4","M0075-100","Plant1","2017-02-15","2017-12-31","PC",296.81,"EUR",100
"C4","S4","M0075-100","Plant1","2018-01-01","2018-03-31","PC",296.81,"EUR",100
"C4","S4","M0075-100","Plant1","2018-04-01","2018-12-31","PC",297.16,"EUR",100
"C4","S4","M0075-100","Plant1","2019-01-01","2019-12-31","PC",297.82,"EUR",100
"C5","S4","M0078-100","Plant3","2016-01-01","2016-02-29","PC",481.4,"EUR",100
"C5","S4","M0078-100","Plant3","2016-03-01","2016-12-31","PC",468.72,"EUR",100
"C5","S4","M0078-100","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C5","S4","M0078-100","Plant3","2017-02-15","2017-12-31","PC",538.36,"EUR",100
"C5","S4","M0078-101","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C5","S4","M0078-101","Plant3","2017-02-15","2017-10-31","PC",538.36,"EUR",100
"C5","S4","M0078-101","Plant3","2017-11-01","2017-12-31","PC",596.04,"EUR",100
"C5","S4","M0078-101","Plant3","2018-01-01","2018-03-31","PC",596.04,"EUR",100
"C5","S4","M0078-101","Plant3","2018-04-01","2018-12-31","PC",597.73,"EUR",100
"C5","S4","M0078-101","Plant3","2019-01-01","2019-12-31","PC",599.36,"EUR",100
"C6","S4","M0080-100","Plant3","2016-01-01","2016-02-29","PC",481.4,"EUR",100
"C6","S4","M0080-100","Plant3","2016-03-01","2016-12-31","PC",468.72,"EUR",100
"C6","S4","M0080-100","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C6","S4","M0080-100","Plant3","2017-02-15","2017-12-31","PC",538.36,"EUR",100
"C6","S4","M0080-101","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C6","S4","M0080-101","Plant3","2017-02-15","2017-10-31","PC",538.36,"EUR",100
"C6","S4","M0080-101","Plant3","2017-11-01","2017-12-31","PC",596.04,"EUR",100
"C6","S4","M0080-101","Plant3","2018-01-01","2018-03-31","PC",596.04,"EUR",100
"C6","S4","M0080-101","Plant3","2018-04-01","2018-12-31","PC",597.73,"EUR",100
"C6","S4","M0080-101","Plant3","2019-01-01","2019-12-31","PC",599.36,"EUR",100
"C7","S4","M0082-100","Plant3","2016-01-01","2016-02-29","PC",481.4,"EUR",100
"C7","S4","M0082-100","Plant3","2016-03-01","2016-12-31","PC",468.72,"EUR",100
"C7","S4","M0082-100","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C7","S4","M0082-100","Plant3","2017-02-15","2017-12-31","PC",538.36,"EUR",100
"C7","S4","M0083-100","Plant3","2017-01-01","2017-02-14","PC",468.72,"EUR",100
"C7","S4","M0083-100","Plant3","2017-02-15","2017-10-31","PC",538.36,"EUR",100
"C7","S4","M0083-100","Plant3","2017-11-01","2017-12-31","PC",596.04,"EUR",100
"C7","S4","M0083-100","Plant3","2018-01-01","2018-03-31","PC",596.04,"EUR",100
"C7","S4","M0083-100","Plant3","2018-04-01","2018-12-31","PC",597.73,"EUR",100
"C7","S4","M0083-100","Plant3","2019-01-01","2019-12-31","PC",599.36,"EUR",100
"C8","S4","M0084-100","Plant3","2016-01-01","2016-02-29","PC",481.4,"EUR",100
