"Plant","Supplier","Material","Calendar year","Calendar month","Calendar day","Base Unit","quantity"
"Plant1","S4","M0001-100","2016","12","2016-12-01","PC",1080
"Plant1","S4","M0002-100","2016","4","2016-04-30","PC",
"Plant1","S4","M0002-100","2016","10","2016-10-07","PC",160
"Plant1","S4","M0002-100","2017","4","2017-04-19","PC",1280
"Plant1","S4","M0002-100","2017","5","2017-05-31","PC",
"Plant1","S4","M0003-100","2016","1","2016-01-27","PC",1000
"Plant1","S4","M0003-100","2017","4","2017-04-19","PC",1080
"Plant1","S4","M0003-100","2017","4","2017-04-30","PC",
"Plant1","S4","M0004-100","2016","1","2016-01-15","PC",120
"Plant1","S4","M0004-100","2016","1","2016-01-25","PC",60
"Plant1","S4","M0004-100","2016","12","2016-12-12","PC",60
"Plant1","S4","M0004-100","2017","4","2017-04-19","PC",1020
"Plant1","S4","M0005-100","2016","4","2016-04-30","PC",
"Plant1","S4","M0005-100","2017","4","2017-04-19","PC",216
"Plant1","S4","M0016-100","2016","1","2016-01-05","PC",308
"Plant1","S4","M0016-100","2016","1","2016-01-07","PC",44
"Plant1","S4","M0016-100","2016","1","2016-01-08","PC",44
"Plant1","S4","M0016-100","2016","1","2016-01-11","PC",616
"Plant1","S4","M0016-100","2016","1","2016-01-12","PC",396
"Plant1","S4","M0016-100","2016","1","2016-01-13","PC",264
"Plant1","S4","M0016-100","2016","1","2016-01-15","PC",484
"Plant1","S4","M0016-100","2016","1","2016-01-18","PC",264
"Plant1","S4","M0016-100","2016","1","2016-01-19","PC",528
"Plant1","S4","M0016-100","2016","1","2016-01-20","PC",176
"Plant1","S4","M0016-100","2016","1","2016-01-21","PC",484
"Plant1","S4","M0016-100","2016","1","2016-01-22","PC",352
"Plant1","S4","M0016-100","2016","1","2016-01-23","PC",176
"Plant1","S4","M0016-100","2016","1","2016-01-25","PC",176
"Plant1","S4","M0016-100","2016","1","2016-01-26","PC",352
"Plant1","S4","M0016-100","2016","2","2016-02-02","PC",968
"Plant1","S4","M0016-100","2016","2","2016-02-03","PC",396
"Plant1","S4","M0016-100","2016","2","2016-02-04","PC",572
"Plant1","S4","M0016-100","2016","2","2016-02-05","PC",616
"Plant1","S4","M0016-100","2016","2","2016-02-08","PC",528
"Plant1","S4","M0016-100","2016","2","2016-02-10","PC",748
"Plant1","S4","M0016-100","2016","2","2016-02-11","PC",352
"Plant1","S4","M0016-100","2016","2","2016-02-12","PC",484
"Plant1","S4","M0016-100","2016","2","2016-02-15","PC",352
"Plant1","S4","M0016-100","2016","2","2016-02-16","PC",440
"Plant1","S4","M0016-100","2016","2","2016-02-17","PC",176
"Plant1","S4","M0016-100","2016","2","2016-02-18","PC",220
"Plant1","S4","M0016-100","2016","2","2016-02-19","PC",220
"Plant1","S4","M0016-100","2016","2","2016-02-22","PC",484
"Plant1","S4","M0016-100","2016","2","2016-02-23","PC",264
"Plant1","S4","M0016-100","2016","2","2016-02-24","PC",352
"Plant1","S4","M0016-100","2016","2","2016-02-25","PC",528
"Plant1","S4","M0016-100","2016","2","2016-02-26","PC",352
"Plant1","S4","M0016-100","2016","2","2016-02-29","PC",264
"Plant1","S4","M0016-100","2016","3","2016-03-01","PC",352
"Plant1","S4","M0016-100","2016","3","2016-03-02","PC",440
"Plant1","S4","M0016-100","2016","3","2016-03-03","PC",264
"Plant1","S4","M0016-100","2016","3","2016-03-04","PC",704
"Plant1","S4","M0016-100","2016","3","2016-03-07","PC",396
"Plant1","S4","M0016-100","2016","3","2016-03-08","PC",352
"Plant1","S4","M0016-100","2016","3","2016-03-09","PC",396
"Plant1","S4","M0016-100","2016","3","2016-03-10","PC",44
"Plant1","S4","M0016-100","2016","3","2016-03-11","PC",352
"Plant1","S4","M0016-100","2016","3","2016-03-14","PC",616
"Plant1","S4","M0016-100","2016","3","2016-03-15","PC",660
"Plant1","S4","M0016-100","2016","3","2016-03-16","PC",352
"Plant1","S4","M0016-100","2016","3","2016-03-17","PC",528
"Plant1","S4","M0016-100","2016","3","2016-03-18","PC",308
"Plant1","S4","M0016-100","2016","3","2016-03-21","PC",396
"Plant1","S4","M0016-100","2016","3","2016-03-22","PC",352
"Plant1","S4","M0016-100","2016","3","2016-03-23","PC",220
"Plant1","S4","M0016-100","2016","3","2016-03-24","PC",220
"Plant1","S4","M0016-100","2016","3","2016-03-29","PC",440
"Plant1","S4","M0016-100","2016","3","2016-03-30","PC",264
"Plant1","S4","M0016-100","2016","3","2016-03-31","PC",396
"Plant1","S4","M0016-100","2016","4","2016-04-04","PC",660
"Plant1","S4","M0016-100","2016","4","2016-04-05","PC",308
"Plant1","S4","M0016-100","2016","4","2016-04-06","PC",264
"Plant1","S4","M0016-100","2016","4","2016-04-07","PC",264
"Plant1","S4","M0016-100","2016","4","2016-04-08","PC",396
"Plant1","S4","M0016-100","2016","4","2016-04-12","PC",396
"Plant1","S4","M0016-100","2016","4","2016-04-13","PC",352
"Plant1","S4","M0016-100","2016","4","2016-04-14","PC",528
"Plant1","S4","M0016-100","2016","4","2016-04-15","PC",220
"Plant1","S4","M0016-100","2016","4","2016-04-18","PC",572
"Plant1","S4","M0016-100","2016","4","2016-04-19","PC",484
"Plant1","S4","M0016-100","2016","4","2016-04-20","PC",440
"Plant1","S4","M0016-100","2016","4","2016-04-21","PC",440
"Plant1","S4","M0016-100","2016","4","2016-04-22","PC",264
"Plant1","S4","M0016-100","2016","4","2016-04-25","PC",528
"Plant1","S4","M0016-100","2016","4","2016-04-26","PC",308
"Plant1","S4","M0016-100","2016","4","2016-04-27","PC",352
"Plant1","S4","M0016-100","2016","4","2016-04-28","PC",440
"Plant1","S4","M0016-100","2016","4","2016-04-29","PC",308
"Plant1","S4","M0016-100","2016","5","2016-05-02","PC",220
"Plant1","S4","M0016-100","2016","5","2016-05-03","PC",352
"Plant1","S4","M0016-100","2016","5","2016-05-04","PC",352
"Plant1","S4","M0016-100","2016","5","2016-05-08","PC",44
"Plant1","S4","M0016-100","2016","5","2016-05-09","PC",572
"Plant1","S4","M0016-100","2016","5","2016-05-10","PC",484
"Plant1","S4","M0016-100","2016","5","2016-05-11","PC",440
"Plant1","S4","M0016-100","2016","5","2016-05-12","PC",440
"Plant1","S4","M0016-100","2016","5","2016-05-13","PC",572
"Plant1","S4","M0016-100","2016","5","2016-05-17","PC",352
"Plant1","S4","M0016-100","2016","5","2016-05-18","PC",396
"Plant1","S4","M0016-100","2016","5","2016-05-19","PC",440
"Plant1","S4","M0016-100","2016","5","2016-05-20","PC",396
"Plant1","S4","M0016-100","2016","5","2016-05-24","PC",176
"Plant1","S4","M0016-100","2016","5","2016-05-25","PC",352
"Plant1","S4","M0016-100","2016","5","2016-05-27","PC",44
"Plant1","S4","M0016-100","2016","5","2016-05-30","PC",264
"Plant1","S4","M0016-100","2016","5","2016-05-31","PC",396
"Plant1","S4","M0016-100","2016","6","2016-06-01","PC",440
"Plant1","S4","M0016-100","2016","6","2016-06-02","PC",528
"Plant1","S4","M0016-100","2016","6","2016-06-03","PC",440
"Plant1","S4","M0016-100","2016","6","2016-06-06","PC",44
"Plant1","S4","M0016-100","2016","6","2016-06-07","PC",396
"Plant1","S4","M0016-100","2016","6","2016-06-08","PC",308
"Plant1","S4","M0016-100","2016","6","2016-06-09","PC",308
"Plant1","S4","M0016-100","2016","6","2016-06-10","PC",440
"Plant1","S4","M0016-100","2016","6","2016-06-13","PC",352
"Plant1","S4","M0016-100","2016","6","2016-06-14","PC",88
"Plant1","S4","M0016-100","2016","6","2016-06-15","PC",440
"Plant1","S4","M0016-100","2016","6","2016-06-16","PC",396
"Plant1","S4","M0016-100","2016","6","2016-06-17","PC",396
"Plant1","S4","M0016-100","2016","6","2016-06-20","PC",352
"Plant1","S4","M0016-100","2016","6","2016-06-21","PC",396
"Plant1","S4","M0016-100","2016","6","2016-06-22","PC",132
"Plant1","S4","M0016-100","2016","6","2016-06-23","PC",528
"Plant1","S4","M0016-100","2016","6","2016-06-24","PC",572
"Plant1","S4","M0016-100","2016","6","2016-06-27","PC",484
"Plant1","S4","M0016-100","2016","6","2016-06-28","PC",220
"Plant1","S4","M0016-100","2016","6","2016-06-29","PC",264
"Plant1","S4","M0016-100","2016","6","2016-06-30","PC",484
"Plant1","S4","M0016-100","2016","7","2016-07-01","PC",484
"Plant1","S4","M0016-100","2016","7","2016-07-05","PC",220
"Plant1","S4","M0016-100","2016","7","2016-07-06","PC",308
"Plant1","S4","M0016-100","2016","7","2016-07-07","PC",220
"Plant1","S4","M0016-100","2016","7","2016-07-08","PC",132
"Plant1","S4","M0016-100","2016","7","2016-07-11","PC",440
"Plant1","S4","M0016-100","2016","7","2016-07-12","PC",528
"Plant1","S4","M0016-100","2016","7","2016-07-13","PC",572
"Plant1","S4","M0016-100","2016","7","2016-07-14","PC",440
"Plant1","S4","M0016-100","2016","7","2016-07-15","PC",528
"Plant1","S4","M0016-100","2016","7","2016-07-16","PC",44
"Plant1","S4","M0016-100","2016","7","2016-07-18","PC",352
"Plant1","S4","M0016-100","2016","7","2016-07-19","PC",352
"Plant1","S4","M0016-100","2016","7","2016-07-20","PC",484
"Plant1","S4","M0016-100","2016","7","2016-07-21","PC",440
"Plant1","S4","M0016-100","2016","7","2016-07-22","PC",264
"Plant1","S4","M0016-100","2016","7","2016-07-25","PC",352
"Plant1","S4","M0016-100","2016","7","2016-07-26","PC",264
"Plant1","S4","M0016-100","2016","7","2016-07-27","PC",132
"Plant1","S4","M0016-100","2016","7","2016-07-28","PC",264
"Plant1","S4","M0016-100","2016","7","2016-07-29","PC",264
"Plant1","S4","M0016-100","2016","8","2016-08-01","PC",44
"Plant1","S4","M0016-100","2016","8","2016-08-02","PC",264
"Plant1","S4","M0016-100","2016","8","2016-08-08","PC",44
"Plant1","S4","M0016-100","2016","8","2016-08-09","PC",88
"Plant1","S4","M0016-100","2016","8","2016-08-11","PC",176
"Plant1","S4","M0016-100","2016","8","2016-08-15","PC",352
"Plant1","S4","M0016-100","2016","8","2016-08-16","PC",176
"Plant1","S4","M0016-100","2016","8","2016-08-22","PC",264
"Plant1","S4","M0016-100","2016","8","2016-08-23","PC",264
"Plant1","S4","M0016-100","2016","8","2016-08-24","PC",264
"Plant1","S4","M0016-100","2016","8","2016-08-25","PC",176
"Plant1","S4","M0016-100","2016","8","2016-08-26","PC",88
"Plant1","S4","M0016-100","2016","8","2016-08-29","PC",176
"Plant1","S4","M0016-100","2016","8","2016-08-30","PC",484
"Plant1","S4","M0016-100","2016","8","2016-08-31","PC",264
"Plant1","S4","M0016-100","2016","9","2016-09-01","PC",308
"Plant1","S4","M0016-100","2016","9","2016-09-02","PC",220
"Plant1","S4","M0016-100","2016","9","2016-09-05","PC",308
"Plant1","S4","M0016-100","2016","9","2016-09-06","PC",352
"Plant1","S4","M0016-100","2016","9","2016-09-07","PC",352
"Plant1","S4","M0016-100","2016","9","2016-09-08","PC",396
"Plant1","S4","M0016-100","2016","9","2016-09-09","PC",220
"Plant1","S4","M0016-100","2016","9","2016-09-12","PC",484
"Plant1","S4","M0016-100","2016","9","2016-09-13","PC",440
"Plant1","S4","M0016-100","2016","9","2016-09-14","PC",440
"Plant1","S4","M0016-100","2016","9","2016-09-15","PC",440
"Plant1","S4","M0016-100","2016","9","2016-09-16","PC",528
"Plant1","S4","M0016-100","2016","9","2016-09-19","PC",440
"Plant1","S4","M0016-100","2016","9","2016-09-20","PC",484
"Plant1","S4","M0016-100","2016","9","2016-09-21","PC",352
"Plant1","S4","M0016-100","2016","9","2016-09-22","PC",308
"Plant1","S4","M0016-100","2016","9","2016-09-23","PC",220
"Plant1","S4","M0016-100","2016","9","2016-09-24","PC",88
"Plant1","S4","M0016-100","2016","9","2016-09-26","PC",352
"Plant1","S4","M0016-100","2016","9","2016-09-27","PC",396
"Plant1","S4","M0016-100","2016","9","2016-09-28","PC",440
"Plant1","S4","M0016-100","2016","9","2016-09-29","PC",352
"Plant1","S4","M0016-100","2016","9","2016-09-30","PC",264
"Plant1","S4","M0016-100","2016","10","2016-10-04","PC",836
"Plant1","S4","M0016-100","2016","10","2016-10-05","PC",308
"Plant1","S4","M0016-100","2016","10","2016-10-06","PC",440
"Plant1","S4","M0016-100","2016","10","2016-10-07","PC",528
"Plant1","S4","M0016-100","2016","10","2016-10-10","PC",88
"Plant1","S4","M0016-100","2016","10","2016-10-11","PC",396
"Plant1","S4","M0016-100","2016","10","2016-10-12","PC",264
"Plant1","S4","M0016-100","2016","10","2016-10-13","PC",308
"Plant1","S4","M0016-100","2016","10","2016-10-14","PC",352
"Plant1","S4","M0016-100","2016","10","2016-10-17","PC",396
"Plant1","S4","M0016-100","2016","10","2016-10-18","PC",484
"Plant1","S4","M0016-100","2016","10","2016-10-19","PC",352
"Plant1","S4","M0016-100","2016","10","2016-10-20","PC",308
